SourceLocationID,BusLocationDesc,Address1,Address2,Address3,Address4,PostalCode,City,Province,Country,CountryName,PhoneNumber,FaxNumber,BrandShortName,BrandName,CategoryCode,CategoryName,BUTypeCode,BUType,Division,RegionCode,RegionDescription,COFR,CorporateOrFranchise,ProvinceID,ProvinceName,ConceptID,ConceptName,OperatingMode,OperatingModeName,OperatingStatus,AreaManager,AreaManagerABN,AreaManagerEmail,AreaManagerID,Director,DirectorEmail,DirectorID,VP,VPEmail,VPID,FranchiseeName,MUFranchiseeName,MUFranchiseeEmail,MUFranchiseeID,HistoryStatus,NationalRegionCode,NationalRegion,POSType,POSSystemName,BOHSystem,BOHSystemName,SquareFootage,RoyaltyPercent,AdvertisingPercent,DeliveryPercent,RoyaltyEffectiveFromDateKey,RoyaltyEffectiveToDateKey,RoyaltyPercent1,AdvertisingPercent1,DeliveryPercent1,RoyaltyEffectiveFromDateKey1,RoyaltyEffectiveToDateKey1,ARPaymentTerm,AROpenDateKey,StatusChangeType,OpenDateKey,CloseDateKey,RestaurantEmail,RestaurantLegalName,SecondaryConceptID,LegacyID,RestaurantLoginID,CreationTimeStamp,DistributionCentre,FocusGroup,RenoStartDateKey,RenoEndDateKey,RenoOpenDateKey,MultiUnitFranchiseePersonalEmail,TimeZone,StoreIPAddress,Longitude,Latitude,StorePOSType,StorePhoneSystemType,StoreNetworkType,BDMUniqueID,DirectorUniqueID,VPUniqueID,BuildingType,Patio,HasDriveThru,LatestConversionDateKey,SycoCustomerNo,TimeZone2,AreaManagerUDC,DirectorUDC,VPUDC
"1021","ULK Banigan Ave-Toronto","18 Banigan Drive","","","","M4H 1E9","Toronto","ON","CA","Canada","437-317-6776","866-273-8608","ULK","Ultimate Kitchens","998","Not Applicable","CO","Co Dev & Co Managed","Ultimate Kitchens","999","Closed","CO","Corporate","ON","Ontario","32","Ultimate Kitchens","OP","Operating","Closed","Closed","",,"","Closed",,"","Closed",,"","Closed",,,"","","EST","Eastern Canada","998","Not Applicable","CJD","RMS-Corporate","N/A",,,,,,,,,,,,"20200330","1","20200330","20220103","UK1021@recipeunlimited.com","Ultimate Kitchen-Banigan","998","","","07/04/2022 8:58:44 AM","Sysco Milton","998",,,,,"EST","10.168.40.2","-79.353120","43.704850","M55","","","999","999","999","Industrial","0","0",,"Not Applicable","America/Toronto","999","999","999"
"1022","ULK Banigan (SWI)","18 Banigan Drive","","","","M4H 1E9","Toronto","ON","CA","Canada","437-317-6776","866-273-8608","ULK","Ultimate Kitchens","998","Not Applicable","CO","Co Dev & Co Managed","Ultimate Kitchens","999","Closed","CO","Corporate","ON","Ontario","32","Ultimate Kitchens","OP","Operating","Closed","Closed","",,"","Closed",,"","Closed",,"","Closed",,,"","","EST","Eastern Canada","M41","Micros","CJD","RMS-Corporate","N/A",,,,,,,,,,,,"20211215","1","20200330","20220103","UK1021@recipeunlimited.com","ULK Banigan (SWI)","1021","","","07/04/2022 8:58:44 AM","Sysco Milton","998",,,,,"EST","","","","","","","999","999","999",".","","",,"1000094989","America/Toronto","999","999","999"
"1023","ULK Banigan (NYF)","18 Banigan Drive","","","","M4H 1E9","Toronto","ON","CA","Canada","437-317-6776","866-273-8608","ULK","Ultimate Kitchens","998","Not Applicable","CO","Co Dev & Co Managed","Ultimate Kitchens","999","Closed","CO","Corporate","ON","Ontario","32","Ultimate Kitchens","OP","Operating","Closed","Closed","",,"","Closed",,"","Closed",,"","Closed",,,"","","EST","Eastern Canada","M41","Micros","CJD","RMS-Corporate","N/A",,,,,,,,,,,,"20211215","1","20200330","20220103","UK1021@recipeunlimited.com","ULK Banigan (NYF)","1021","","","07/04/2022 8:58:44 AM","Flanagan-Whitby","998",,,,,"EST","","","","","","","999","999","999",".","","",,"1000094990","America/Toronto","999","999","999"
"1024","ULK Banigan (ESM)","18 Banigan Drive","","","","M4H 1E9","Toronto","ON","CA","Canada","437-317-6776","866-273-8608","ULK","Ultimate Kitchens","ESM","ULK (East Side Mario's)","CO","Co Dev & Co Managed","Ultimate Kitchens","999","Closed","CO","Corporate","ON","Ontario","32","Ultimate Kitchens","OP","Operating","Closed","Closed","",,"","Closed",,"","Closed",,"","Closed",,,"","","EST","Eastern Canada","M41","Micros","CJD","RMS-Corporate","N/A",,,,,,,,,,,,"20211213","1","20200330","20211213","UK1021@recipeunlimited.com","ULK Banigan (ESM)","1021","","","07/04/2022 8:58:44 AM","Sysco Milton","998",,,,,"EST","","","","","","","999","999","999",".","","",,"1000094988","America/Toronto","999","999","999"
"1025","ULK Banigan (FRE)","18 Banigan Drive","","","","M4H 1E9","Toronto","ON","CA","Canada","437-317-6776","866-273-8608","ULK","Ultimate Kitchens","FRE","ULK (Fresh)","CO","Co Dev & Co Managed","Ultimate Kitchens","999","Closed","CO","Corporate","ON","Ontario","32","Ultimate Kitchens","OP","Operating","Closed","Closed","",,"","Closed",,"","Closed",,"","Closed",,,"","","EST","Eastern Canada","SIM","Simphony","OTH","Other","N/A",,,,,,,,,,,,"20220102","1","20210510","20220102","UK1021@recipeunlimited.com","ULK Banigan (FRE)","1021","","","07/04/2022 8:58:44 AM","Sysco Milton","998",,,,,"EST","","","","","","","999","999","999",".","","",,"1000094988","America/Toronto","999","999","999"
"1026","ULK Banigan (BLONDIES)","18 Banigan Drive","","","","M4H 1E9","Toronto","ON","CA","Canada","437-317-6776","866-273-8608","ULK","Ultimate Kitchens","998","Not Applicable","CO","Co Dev & Co Managed","Ultimate Kitchens","999","Closed","CO","Corporate","ON","Ontario","32","Ultimate Kitchens","OP","Operating","Closed","Closed","",,"","Closed",,"","Closed",,"","Closed",,,"","","EST","Eastern Canada","SIM","Simphony","OTH","Other","N/A",,,,,,,,,,,,"20210104","1","20201105","20210104","UK1021@recipeunlimited.com","ULK Banigan (BLONDIES)","1021","","","07/04/2022 8:58:44 AM","Sysco Milton","998",,,,,"EST","","","","","","","999","999","999",".","","",,"Not Applicable","America/Toronto","999","999","999"
"1027","ULK Banigan (BENTO SUSHI)","18 Banigan Drive","","","","M4H 1E9","Toronto","ON","CA","Canada","437-317-6776","866-273-8608","ULK","Ultimate Kitchens","998","Not Applicable","CO","Co Dev & Co Managed","Ultimate Kitchens","999","Closed","CO","Corporate","ON","Ontario","32","Ultimate Kitchens","OP","Operating","Closed","Closed","",,"","Closed",,"","Closed",,"","Closed",,,"","","EST","Eastern Canada","SIM","Simphony","OTH","Other","N/A",,,,,,,,,,,,"20210215","1","20210215",,"UK1021@recipeunlimited.com","ULK Banigan (BENTO SUSHI)","1021","","","07/04/2022 8:58:44 AM","Sysco Milton","998",,,,,"EST","","","","","","","999","999","999",".","","",,"Not Applicable","America/Toronto","999","999","999"
"1028","ULK Banigan (MIL)","18 Banigan Drive","","","","M4H 1E9","Toronto","ON","CA","Canada","437-317-6776","866-273-8608","ULK","Ultimate Kitchens","MIL","ULK (Milestones)","CO","Co Dev & Co Managed","Ultimate Kitchens","999","Closed","CO","Corporate","ON","Ontario","32","Ultimate Kitchens","OP","Operating","Closed","Closed","",,"","Closed",,"","Closed",,"","Closed",,,"","","EST","Eastern Canada","SIM","Simphony","OTH","Other","N/A",,,,,,,,,,,,"20210222","1","20201204","20210222","UK1021@recipeunlimited.com","ULK Banigan (MILESTONES)","1021","","","07/04/2022 8:58:44 AM","Sysco Milton","998",,,,,"EST","","","","","","","999","999","999",".","","",,"Not Applicable","America/Toronto","999","999","999"
"1031","ULK Carlaw Ave-Toronto","461 Carlaw Ave","","","","M4K 3H9","Toronto","ON","CA","Canada","647-793-5333","866-381-0312","ULK","Ultimate Kitchens","998","Not Applicable","CO","Co Dev & Co Managed","Ultimate Kitchens","CAR","ULK Carlaw Ave (Toronto)","CO","Corporate","ON","Ontario","32","Ultimate Kitchens","OP","Operating","Active","Justin Romero","78745","uk1031@recipeunlimited.com","","Brian Selva","bselva@recipeunlimited.com","","Peter Higley","phigley@recipeunlimited.com","","Not Applicable",,,"","","EST","Eastern Canada","SIM","Simphony","CJD","RMS-Corporate","3900",,,,,,,,,,,,"20201123","1","20201123",,"uk1031@recipeunlimited.com","Ultimate Kitchen-Carlaw Ave","998","","","07/04/2022 8:58:44 AM","Sysco Milton","998",,,,,"EST","10.168.48.2","-79.34192564","43.66893273","M55","","","107","256","350","Industrial","0","0",,"Not Applicable","America/Toronto","107","256","350"
"1032","ULK Carlaw (SWI+HAR)","461 Carlaw Ave","","","","M4K 3H9","Toronto","ON","CA","Canada","647-793-5333","866-381-0312","ULK","Ultimate Kitchens","998","Not Applicable","CO","Co Dev & Co Managed","Ultimate Kitchens","CAR","ULK Carlaw Ave (Toronto)","CO","Corporate","ON","Ontario","32","Ultimate Kitchens","OP","Operating","Active","Justin Romero","78745","uk1031@recipeunlimited.com","","Brian Selva","bselva@recipeunlimited.com","","Peter Higley","phigley@recipeunlimited.com","","Not Applicable",,,"","","EST","Eastern Canada","M41","Micros","CJD","RMS-Corporate","N/A",,,,,,,,,,,,"20201123","1","20201123",,"uk1031@recipeunlimited.com","ULK Carlaw (SWI+HAR)","1031","","","07/04/2022 8:58:44 AM","Sysco Milton","998",,,,,"EST","","","","","","","107","256","350",".","","",,"Not Applicable","America/Toronto","107","256","350"
"1033","ULK Carlaw (NYF)","461 Carlaw Ave","","","","M4K 3H9","Toronto","ON","CA","Canada","647-793-5333","866-381-0312","ULK","Ultimate Kitchens","998","Not Applicable","CO","Co Dev & Co Managed","Ultimate Kitchens","CAR","ULK Carlaw Ave (Toronto)","CO","Corporate","ON","Ontario","32","Ultimate Kitchens","OP","Operating","Active","Justin Romero","78745","uk1031@recipeunlimited.com","","Brian Selva","bselva@recipeunlimited.com","","Peter Higley","phigley@recipeunlimited.com","","Not Applicable",,,"","","EST","Eastern Canada","SIM","Simphony","CJD","RMS-Corporate","N/A",,,,,,,,,,,,"20201123","1","20201123",,"uk1031@recipeunlimited.com","ULK Carlaw (NYF)","1031","","","07/04/2022 8:58:44 AM","Flanagan-Whitby","998",,,,,"EST","","","","","","","107","256","350",".","","",,"Not Applicable","America/Toronto","107","256","350"
"1034","ULK Carlaw (ESM)","461 Carlaw Ave","","","","M4K 3H9","Toronto","ON","CA","Canada","647-793-5333","866-381-0312","ULK","Ultimate Kitchens","ESM","ULK (East Side Mario's)","CO","Co Dev & Co Managed","Ultimate Kitchens","CAR","ULK Carlaw Ave (Toronto)","CO","Corporate","ON","Ontario","32","Ultimate Kitchens","OP","Operating","Active","Justin Romero","78745","uk1031@recipeunlimited.com","","Brian Selva","bselva@recipeunlimited.com","","Peter Higley","phigley@recipeunlimited.com","","Not Applicable",,,"","","EST","Eastern Canada","SIM","Simphony","CJD","RMS-Corporate","N/A",,,,,,,,,,,,"20201123","1","20201123",,"uk1031@recipeunlimited.com","ULK Carlaw (ESM)","1031","","","07/04/2022 8:58:44 AM","Sysco Milton","998",,,,,"EST","","","","","","","107","256","350",".","","",,"Not Applicable","America/Toronto","107","256","350"
"1035","ULK Carlaw (FRE)","461 Carlaw Ave","","","","M4K 3H9","Toronto","ON","CA","Canada","647-793-5333","866-381-0312","ULK","Ultimate Kitchens","FRE","ULK (Fresh)","CO","Co Dev & Co Managed","Ultimate Kitchens","CAR","ULK Carlaw Ave (Toronto)","CO","Corporate","ON","Ontario","32","Ultimate Kitchens","OP","Operating","Active","Justin Romero","78745","uk1031@recipeunlimited.com","","Brian Selva","bselva@recipeunlimited.com","","Peter Higley","phigley@recipeunlimited.com","","Not Applicable",,,"","","EST","Eastern Canada","SIM","Simphony","OTH","Other","N/A",,,,,,,,,,,,"20201123","1","20201123",,"uk1031@recipeunlimited.com","ULK Carlaw (FRE)","1031","","","07/04/2022 8:58:44 AM","Sysco Milton","998",,,,,"EST","","","","","","","107","256","350",".","","",,"Not Applicable","America/Toronto","107","256","350"
"1037","ULK Carlaw (BENTO SUSHI)","461 Carlaw Ave","","","","M4K 3H9","Toronto","ON","CA","Canada","647-793-5333","866-381-0312","ULK","Ultimate Kitchens","BEN","ULK (Bento Sushi)","CO","Co Dev & Co Managed","Ultimate Kitchens","999","Closed","CO","Corporate","ON","Ontario","32","Ultimate Kitchens","OP","Operating","Closed","Closed","",,"","Closed",,"","Closed",,"","Closed",,,"","","EST","Eastern Canada","SIM","Simphony","OTH","Other","N/A",,,,,,,,,,,,"20210215","1","20210215",,"uk1031@recipeunlimited.com","ULK Carlaw (BENTO SUSHI)","1031","","","07/04/2022 8:58:44 AM","Sysco Milton","998",,,,,"EST","","","","","","","999","999","999",".","","",,"Not Applicable","America/Toronto","999","999","999"
"1041","ULK Dufferin St-Toronto","","","","","","Toronto","ON","CA","Canada","437-317-6776","866-273-8608","ULK","Ultimate Kitchens","998","Not Applicable","CO","Co Dev & Co Managed","Ultimate Kitchens","","Not Yet Available","CO","Corporate","ON","Ontario","32","Ultimate Kitchens","OP","Operating","Construction In Progress","Not Yet Available","",,"","Not Yet Available",,"","Not Yet Available",,"","Not Applicable",,,"","","EST","Eastern Canada","998","Not Applicable","CJD","RMS-Corporate","",,,,,,,,,,,,"20210308","1","20210308",,"","ULK Dufferin St-Toronto","998","","","07/04/2022 8:58:44 AM","Not Yet Available","998",,,,,"EST","","","","","","","","","",".","","",,".","America/Toronto","","",""
"1042","ULK Markham","","","","","","Markham","ON","CA","Canada","437-317-6776","866-273-8608","ULK","Ultimate Kitchens","998","Not Applicable","CO","Co Dev & Co Managed","Ultimate Kitchens","","Not Yet Available","CO","Corporate","ON","Ontario","32","Ultimate Kitchens","OP","Operating","Budget Purposes Only","Not Yet Available","",,"","Not Yet Available",,"","Not Yet Available",,"","Not Applicable",,,"","","EST","Eastern Canada","998","Not Applicable","CJD","RMS-Corporate","",,,,,,,,,,,,,,,,"","ULK Markham","998","","","07/04/2022 8:58:44 AM","Not Yet Available","998",,,,,"EST","","","","","","","","","",".","","",,".","America/Toronto","","",""
"1043","ULK Thornhill","","","","","","Thornhill","ON","CA","Canada","437-317-6776","866-273-8608","ULK","Ultimate Kitchens","998","Not Applicable","CO","Co Dev & Co Managed","Ultimate Kitchens","","Not Yet Available","CO","Corporate","ON","Ontario","32","Ultimate Kitchens","OP","Operating","Budget Purposes Only","Not Yet Available","",,"","Not Yet Available",,"","Not Yet Available",,"","Not Applicable",,,"","","EST","Eastern Canada","998","Not Applicable","CJD","RMS-Corporate","",,,,,,,,,,,,,,,,"","ULK Thornhill","998","","","07/04/2022 8:58:44 AM","Not Yet Available","998",,,,,"EST","","","","","","","","","",".","","",,".","America/Toronto","","",""
"1044","ULK Richmond Hill","","","","","","Thornhill","ON","CA","Canada","437-317-6776","866-273-8608","ULK","Ultimate Kitchens","998","Not Applicable","CO","Co Dev & Co Managed","Ultimate Kitchens","","Not Yet Available","CO","Corporate","ON","Ontario","32","Ultimate Kitchens","OP","Operating","Budget Purposes Only","Not Yet Available","",,"","Not Yet Available",,"","Not Yet Available",,"","Not Applicable",,,"","","EST","Eastern Canada","998","Not Applicable","CJD","RMS-Corporate","",,,,,,,,,,,,,,,,"","ULK Richmond Hill","998","","","07/04/2022 8:58:44 AM","Not Yet Available","998",,,,,"EST","","","","","","","","","",".","","",,".","America/Toronto","","",""
"1045","ULK Etobicoke North-Toronto","","","","","","Toronto","ON","CA","Canada","437-317-6776","866-273-8608","ULK","Ultimate Kitchens","998","Not Applicable","CO","Co Dev & Co Managed","Ultimate Kitchens","","Not Yet Available","CO","Corporate","ON","Ontario","32","Ultimate Kitchens","OP","Operating","Construction In Progress","Not Yet Available","",,"","Not Yet Available",,"","Not Yet Available",,"","Not Applicable",,,"","","EST","Eastern Canada","998","Not Applicable","CJD","RMS-Corporate","",,,,,,,,,,,,,,,,"","ULK Etobicoke North","998","","","07/04/2022 8:58:44 AM","Not Yet Available","998",,,,,"EST","","","","","","","","","",".","","",,".","America/Toronto","","",""
"1046","ULK GTA #6 (TBD)","","","","","","Toronto","ON","CA","Canada","437-317-6776","866-273-8608","ULK","Ultimate Kitchens","998","Not Applicable","CO","Co Dev & Co Managed","Ultimate Kitchens","","Not Yet Available","CO","Corporate","ON","Ontario","32","Ultimate Kitchens","OP","Operating","Budget Purposes Only","Not Yet Available","",,"","Not Yet Available",,"","Not Yet Available",,"","Not Applicable",,,"","","EST","Eastern Canada","998","Not Applicable","CJD","RMS-Corporate","",,,,,,,,,,,,,,,,"","ULK GTA #6 (TBD)","998","","","07/04/2022 8:58:44 AM","Not Yet Available","998",,,,,"EST","","","","","","","","","",".","","",,".","America/Toronto","","",""
"1047","ULK GTA #7 (TBD)","","","","","","Toronto","ON","CA","Canada","437-317-6776","866-273-8608","ULK","Ultimate Kitchens","998","Not Applicable","CO","Co Dev & Co Managed","Ultimate Kitchens","","Not Yet Available","CO","Corporate","ON","Ontario","32","Ultimate Kitchens","OP","Operating","Budget Purposes Only","Not Yet Available","",,"","Not Yet Available",,"","Not Yet Available",,"","Not Applicable",,,"","","EST","Eastern Canada","998","Not Applicable","CJD","RMS-Corporate","",,,,,,,,,,,,,,,,"","ULK GTA #7 (TBD)","998","","","07/04/2022 8:58:44 AM","Not Yet Available","998",,,,,"EST","","","","","","","","","",".","","",,".","America/Toronto","","",""
"1051","ULK Hamilton","151 York Blvd","","","","L8R 3L4","Hamilton","ON","CA","Canada","289-919-3101","866-280-8944","ULK","Ultimate Kitchens","998","Not Applicable","CO","Co Dev & Co Managed","Ultimate Kitchens","HAM","ULK York Blvd (Hamilton)","CO","Corporate","ON","Ontario","32","Ultimate Kitchens","OP","Operating","Active","Atul Bhatia","235114","uk1051@recipeunlimited.com","","Shane Vermeire","svermeire@recipeunlimited.com","","Peter Higley","phigley@recipeunlimited.com","","Not Applicable",,,"","","EST","Eastern Canada","998","Not Applicable","CJD","RMS-Corporate","",,,,,,,,,,,,"20210510","1","20210510",,"uk1051@recipeunlimited.com","Ultimate Kitchen-Hamilton","998","","","07/04/2022 8:58:44 AM","Not Applicable","998",,,,,"EST","","","","","","","108","352","350","Retail-Inline","0","0",,"Not Applicable","America/Toronto","108","352","350"
"1052","ULK Hamilton (SWI)","151 York Blvd","","","","L8R 3L4","Hamilton","ON","CA","Canada","289-919-3101","866-280-8944","ULK","Ultimate Kitchens","SWI","ULK (Swiss Chalet)","CO","Co Dev & Co Managed","Ultimate Kitchens","HAM","ULK York Blvd (Hamilton)","CO","Corporate","ON","Ontario","32","Ultimate Kitchens","OP","Operating","Active","Atul Bhatia","235114","uk1051@recipeunlimited.com","","Shane Vermeire","svermeire@recipeunlimited.com","","Peter Higley","phigley@recipeunlimited.com","","Not Applicable",,,"","","EST","Eastern Canada","M41","Micros","CJD","RMS-Corporate","N/A",,,,,,,,,,,,"20210510","1","20210510",,"uk1051@recipeunlimited.com","ULK Hamilton (SWI)","1051","","","07/04/2022 8:58:44 AM","Sysco Milton","998",,,,,"EST","10.168.56.2","","","M55","","","108","352","350",".","","",,"1000094989","America/Toronto","108","352","350"
